Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_02273_967d3	1	12	0	0	1	1	19
rev_0bb97_c0dc5	1	5	6	0	1	1	112
rev_1743f_892a8	0	0	0	0	0	0	0
rev_1c6a6_1a515	4	51	0	0	1	1	192
rev_1d869_8b348	0	0	0	0	0	0	0
rev_25706_aa75f	0	0	0	0	0	0	0
rev_37cc7_5762a	0	0	0	0	0	0	0
rev_4a8dc_8ac49	0	0	0	0	0	0	0
rev_4cbb3_1cb4f	0	0	0	0	1	0	7
rev_511c0_ddc11	0	0	0	0	0	0	0
rev_5ecd8_fc13f	0	0	0	0	0	0	0
rev_62cbe_b4dbc	0	0	0	0	0	0	0
rev_853c5_cbc5a	0	0	0	0	0	0	0
rev_8b348_a72a2	3	28	28	0	3	3	98
rev_8bce2_ad87a	0	0	0	0	0	0	0
rev_8cfb0_8e00e	0	0	0	0	0	0	0
rev_9d638_85638	0	0	0	0	0	0	0
rev_9ef25_b329e	0	0	0	0	1	0	7
rev_a194e_6854b	0	0	0	0	0	0	0
rev_ab12c_e4250	1	4	1	0	2	1	58
rev_b3545_9ef1a	0	0	0	0	1	0	9
rev_b6490_cd791	2	4	4	0	1	1	0
rev_bf81f_6e8aa	0	0	0	0	0	0	0
rev_bfd9d_fb65c	0	0	0	0	0	0	0
rev_c5376_6854b	0	0	0	0	0	0	0
rev_e54c0_23c1c	0	0	0	0	0	0	0
rev_f07f3_aac5f	1	0	6	0	1	1	24
