Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev_02273_967d3	2	38	2	0	2	2	276
rev_0bb97_c0dc5	1	8	9	0	1	1	117
rev_1743f_892a8	1	11	40	0	1	1	342
rev_1c6a6_1a515	1	1	2	0	1	1	332
rev_1d869_8b348	4	96	97	0	3	3	221
rev_25706_aa75f	3	9	6	0	1	1	87
rev_37cc7_5762a	1	2	6	0	1	1	208
rev_4a8dc_8ac49	8	126	17	0	2	2	326
rev_4cbb3_1cb4f	7	15	29	0	3	3	316
rev_511c0_ddc11	1	7	24	0	1	1	212
rev_5ecd8_fc13f	1	1	31	0	1	1	284
rev_62cbe_b4dbc	1	7	0	0	1	1	286
rev_853c5_cbc5a	2	18	16	0	2	2	449
rev_8b348_a72a2	6	84	81	0	4	4	200
rev_8bce2_ad87a	1	6	1	0	1	1	111
rev_8cfb0_8e00e	1	10	50	0	1	1	190
rev_9d638_85638	3	4	4	0	2	2	145
rev_9ef25_b329e	2	3	3	0	2	2	178
rev_a194e_6854b	5	26	30	0	1	1	108
rev_ab12c_e4250	10	156	149	0	9	9	704
rev_b3545_9ef1a	4	7	7	0	3	3	300
rev_b6490_cd791	5	129	124	0	5	5	345
rev_bf81f_6e8aa	1	10	4	0	1	1	51
rev_bfd9d_fb65c	8	25	25	0	3	3	802
rev_c5376_6854b	5	26	30	0	1	1	108
rev_e54c0_23c1c	1	2	2	0	1	1	104
rev_f07f3_aac5f	2	4	43	0	2	2	79
